# angle target_eps final_f eps_diff_val result
0.8629495831 0.01 3 1.19706e-05 Success
0.8641119661 0.01 3 1.22338e-05 Success
0.8665400236 0.01 3 1.21159e-05 Success
0.8673687626 0.01 3 1.24478e-05 Success
0.8981494676 1 0 0.00999344 Success
0.9009235600 1 0 0.0102723 Success
0.9041503755 1 0 0.0106015 Success
0.9113082214 0.1 2 0.00120931 Success
0.9115631154 0.01 3 1.2125e-05 Success
0.9287347909 0.1 2 0.00118738 Success
0.9367046859 1 0 0.0142124 Success
0.9628065081 0.01 3 1.19993e-05 Success
0.9758048695 1 0 0.0192447 Success
0.9852162618 0.1 2 0.00121319 Success
0.9940195715 1 0 0.0218475 Success
0.9953816956 0.1 2 0.00122772 Success
1.0491534707 0.01 2 1.13513e-05 Success
1.0619306660 1 0 0.0278796 Success
1.0750181117 0.1 2 0.00119243 Success
1.0940782994 1 0 0.0227856 Success
1.0945600350 1 0 0.0227131 Success
1.1479892344 0.01 3 1.18242e-05 Success
1.1515275438 0.1 2 0.00118917 Success
1.1624494739 0.1 2 0.00124805 Success
1.1631016101 1 0 0.0135757 Success
1.1702018587 0.01 3 1.21933e-05 Success
1.1704945744 0.01 3 1.1991e-05 Success
1.1734467718 0.1 2 0.00122805 Success
1.1796278943 0.1 2 0.00123117 Success
1.1863942270 0.1 2 0.00119386 Success
1.2010371135 0.01 3 1.23743e-05 Success
1.2057640033 0.1 2 0.00121058 Success
1.2191149890 1 0 0.00784026 Success
1.2301625839 0.1 2 0.00116699 Success
1.2339267274 1 0 0.00658468 Success
1.2679374795 0.1 2 0.00116597 Success
1.2904879414 0.01 3 1.24355e-05 Success
1.3006092572 0.01 3 1.16289e-05 Success
1.3030204090 0.1 2 0.00118686 Success
1.3110895996 0.01 3 1.24438e-05 Success
1.3535171340 0.01 3 1.14755e-05 Success
1.3607238066 0.01 3 1.233e-05 Success
1.3668896078 0.1 0 0.000215701 Success
1.3683086726 0.1 0 0.000195364 Success
1.3787146837 0.1 0 7.69889e-05 Success
1.3855985224 1 0 2.84348e-05 Success
1.3879843044 0.01 3 1.24213e-05 Success
1.3958264022 0.01 0 4.77421e-08 Success
1.4239994842 0.01 3 1.24276e-05 Success
1.4301918672 1 0 0.000287778 Success
1.4356960178 1 0 0.00038872 Success
1.4381487558 1 0 0.00043858 Success
1.4707899399 0.1 2 0.00123526 Success
1.4714539389 0.1 2 0.00123232 Success
1.4750577650 1 0 0.00155194 Success
1.4855744939 0.1 2 0.00120669 Success
1.4892029664 0.01 3 1.2324e-05 Success
1.4970242498 0.1 2 0.00116996 Success
1.5006642235 0.01 3 1.22438e-05 Success
1.5128789207 1 0 0.00339883 Success
1.5165442818 0.001 4 1.22541e-07 Success
1.5193730512 1 0 0.0037878 Success
1.5452063911 0.1 2 0.00123408 Success
1.5499763736 0.01 3 1.22689e-05 Success
1.5593267882 0.1 2 0.00118293 Success
1.5633971577 0.01 3 1.17538e-05 Success
1.5673619334 0.1 2 0.00115056 Success
