# angle target_eps final_f eps_diff_val result
1.1479892344 0.01 3 0.00687683 Success
1.1515275438 0.1 2 0.0689066 Success
1.1624494739 0.1 2 0.0703954 Success
1.1631016101 1 0 0.164777 Success
1.1702018587 0.01 3 0.00696584 Success
1.1704945744 0.01 3 0.00691937 Success
1.1734467718 0.1 2 0.0689896 Success
1.1796278943 0.1 2 0.0694354 Success
1.1863942270 0.1 2 0.0688833 Success
1.2010371135 0.01 3 0.00702653 Success
1.2057640033 0.1 2 0.0691313 Success
1.2191149890 1 0 0.125222 Success
1.2301625839 0.1 2 0.0677708 Success
1.2339267274 1 0 0.114758 Success
1.2679374795 0.1 2 0.0675318 Success
1.3006092572 0.01 3 0.00676148 Success
1.3030204090 0.1 2 0.0688792 Success
1.3110895996 0.01 3 0.00697879 Success
1.3535171340 0.01 3 0.00676131 Success
1.3607238066 0.01 3 0.00696682 Success
1.3668896078 0.1 0 0.0207702 Success
1.3683086726 0.1 0 0.0197668 Success
1.3787146837 0.1 0 0.0124088 Success
1.3855985224 1 0 0.0075412 Success
1.3879843044 0.01 3 0.007048 Success
1.3958264022 0.01 0 0.000309005 Success
1.4301918672 1 0 0.0239908 Success
1.4356960178 1 0 0.0278826 Success
1.4381487558 1 0 0.0296169 Success
1.4707899399 0.1 2 0.0702872 Success
1.4714539389 0.1 2 0.0690783 Success
1.4750577650 1 0 0.0557124 Success
1.4855744939 0.1 2 0.0682948 Success
1.4892029664 0.01 3 0.00701105 Success
1.4970242498 0.1 2 0.0682349 Success
1.5128789207 1 0 0.0824479 Success
1.5193730512 1 0 0.0870379 Success
1.5452063911 0.1 2 0.0674999 Success
1.5499763736 0.01 3 0.00687844 Success
1.5593267882 0.1 2 0.0679416 Success
1.5633971577 0.01 3 0.00685436 Success
1.5673619334 0.1 2 0.0678315 Success
